original_genre,top_category,subgenre
True Crime,Documentary & Biography,True Crime
Mockumentary,Comedy,Mockumentary
Feel-Good Romance,Romance & Drama,Feel-Good Romance
Action,Action & Adventure,Action
Quest,Other / Niche,Quest
News,Documentary & Biography,News
Documentary,Documentary & Biography,Documentary
Comedy,Comedy,Comedy
Biography,Documentary & Biography,Biography
Body Horror,Horror & Thriller,Body Horror
Tragedy,Romance & Drama,Tragedy
Found Footage Horror,Horror & Thriller,Found Footage Horror
Romantic Comedy,Comedy,Romantic Comedy
Drama,Romance & Drama,Drama
Dark Comedy,Comedy,Dark Comedy
Crime,Horror & Thriller,Spy/Crime
Parody,Comedy,Parody
Psychological Drama,Romance & Drama,Psychological Drama
Buddy Comedy,Comedy,Buddy Comedy
Satire,Comedy,Dark/Satire/Parody
Dark Romance,Romance & Drama,Dark Romance
Space Sci-Fi,Sci-Fi & Fantasy,Space Sci‑Fi
Martial Arts,Action & Adventure,Martial Arts
Road Trip,Other / Niche,Road Trip
Docudrama,Documentary & Biography,Docudrama
Slapstick,Comedy,Physical/Classic
Supernatural Horror,Horror & Thriller,Supernatural Horror
Gangster,Horror & Thriller,Spy/Crime
Period Drama,Romance & Drama,Period Drama
Crime Documentary,Documentary & Biography,Crime Documentary
Cop Drama,Horror & Thriller,Mystery/Detective
Jukebox Musical,Other / Niche,Jukebox Musical
Action Epic,Action & Adventure,Action
Slasher Horror,Horror & Thriller,Slasher Horror
Adventure,Action & Adventure,Adventure
Dark Fantasy,Sci-Fi & Fantasy,Dark Fantasy
Horror,Horror & Thriller,Horror
Epic,Action & Adventure,Action
Romance,Romance & Drama,Romance
Thriller,Horror & Thriller,Thriller
Anime,Animation,Anime
Superhero,Sci-Fi & Fantasy,Superhero
Quirky Comedy,Comedy,Quirky Comedy
Drug Crime,Horror & Thriller,Spy/Crime
Raunchy Comedy,Comedy,Raunchy Comedy
Alien Invasion,Sci-Fi & Fantasy,Alien Invasion
Gun Fu,Action & Adventure,Martial Arts
Psychological Thriller,Horror & Thriller,Psychological Thriller
Animation,Animation,Animation
Coming-of-Age,Romance & Drama,Coming-of-Age
One-Person Army Action,Action & Adventure,Action
Zombie Horror,Horror & Thriller,Zombie Horror
Water Sport,Other / Niche,Water Sport
Body Swap Comedy,Comedy,Body Swap Comedy
Animal Adventure,Action & Adventure,Adventure
High-Concept Comedy,Comedy,High-Concept Comedy
Costume Drama,Romance & Drama,Costume Drama
Conspiracy Thriller,Horror & Thriller,Conspiracy Thriller
Military Documentary,Documentary & Biography,Military Documentary
Disaster,Other / Niche,Disaster
Basketball,Other / Niche,Basketball
Science & Technology Documentary,Documentary & Biography,Science/Technology Documentary
Cyberpunk,Sci-Fi & Fantasy,Cyberpunk
Fairy Tale,Sci-Fi & Fantasy,Fairy Tale
Computer Animation,Animation,Computer Animation
Prison Drama,Romance & Drama,Prison Drama
Political Thriller,Horror & Thriller,Political Thriller
Music,Other / Niche,Music
Sword & Sandal,Other / Niche,History/Antiquity
Cozy Mystery,Horror & Thriller,Mystery/Detective
Football,Other / Niche,Football
Boxing,Other / Niche,Boxing
Caper,Horror & Thriller,Heist/Caper
Teen Drama,Romance & Drama,Teen Drama
Adult Animation,Animation,Adult Animation
Sci-Fi,Sci-Fi & Fantasy,Sci‑Fi
History Documentary,Documentary & Biography,History Documentary
Buddy Cop,Horror & Thriller,Mystery/Detective
Teen Romance,Romance & Drama,Coming-of-Age
Baseball,Other / Niche,Baseball
B-Horror,Horror & Thriller,B-Horror
Police Procedural,Horror & Thriller,Mystery/Detective
Music Documentary,Documentary & Biography,Music Documentary
Family,Other / Niche,Family
Legal Thriller,Horror & Thriller,Legal Thriller
Adventure Epic,Action & Adventure,Adventure
Dystopian Sci-Fi,Sci-Fi & Fantasy,Dystopian Sci‑Fi
Political Documentary,Documentary & Biography,Political Documentary
Erotic Thriller,Horror & Thriller,Erotic Thriller
Werewolf Horror,Horror & Thriller,Werewolf Horror
Spy,Horror & Thriller,Spy/Crime
Psychological Horror,Horror & Thriller,Psychological Horror
Kung Fu,Action & Adventure,Martial Arts
Political Drama,Romance & Drama,Political Drama
Witch Horror,Horror & Thriller,Witch Horror
B-Action,Action & Adventure,Action
Desert Adventure,Action & Adventure,Adventure
Extreme Sport,Other / Niche,Extreme Sport
Splatter Horror,Horror & Thriller,Splatter Horror
Stand-Up,Comedy,Stand-Up/Sitcom
Bumbling Detective,Comedy,Physical/Classic
Workplace Drama,Romance & Drama,Workplace Drama
,Other / Niche,Unknown
Romantic Epic,Romance & Drama,Romance Epic
War Epic,Other / Niche,War Epic
Teen Comedy,Comedy,Teen Comedy
Teen Horror,Horror & Thriller,Teen Horror
Supernatural Fantasy,Sci-Fi & Fantasy,Supernatural Fantasy
Dinosaur Adventure,Action & Adventure,Adventure
Car Action,Action & Adventure,Action
Contemporary Western,Action & Adventure,Western
Suspense Mystery,Horror & Thriller,Mystery/Detective
Musical,Other / Niche,Musical
Sea Adventure,Action & Adventure,Adventure
Steampunk,Sci-Fi & Fantasy,Steampunk
Farce,Comedy,Physical/Classic
Kaiju,Sci-Fi & Fantasy,Kaiju
Steamy Romance,Romance & Drama,Steamy Romance
Concert,Other / Niche,Concert
Survival,Other / Niche,Survival
Fantasy Epic,Sci-Fi & Fantasy,Fantasy Epic
Folk Horror,Horror & Thriller,Folk Horror
Nature Documentary,Documentary & Biography,Nature Documentary
Serial Killer,Horror & Thriller,Mystery/Detective
Screwball Comedy,Comedy,Physical/Classic
Holiday Comedy,Comedy,Holiday Comedy
Fantasy,Sci-Fi & Fantasy,Fantasy
Food Documentary,Documentary & Biography,Food Documentary
Sci-Fi Epic,Sci-Fi & Fantasy,Sci‑Fi Epic
Monster Horror,Horror & Thriller,Monster Horror
Sport,Other / Niche,General
Whodunnit,Horror & Thriller,Mystery/Detective
Cyber Thriller,Horror & Thriller,Cyber Thriller
Jungle Adventure,Action & Adventure,Adventure
Soccer,Other / Niche,Soccer
Hand-Drawn Animation,Animation,Hand-Drawn Animation
Stop Motion Animation,Animation,Stop Motion Animation
Globetrotting Adventure,Action & Adventure,Adventure
Vampire Horror,Horror & Thriller,Vampire Horror
Mystery,Horror & Thriller,Mystery/Detective
Motorsport,Other / Niche,Motorsport
Historical Epic,Other / Niche,Historical Epic
Sports Documentary,Documentary & Biography,Sports Documentary
Sword & Sorcery,Sci-Fi & Fantasy,Sword & Sorcery
Rock Musical,Other / Niche,Rock Musical
Medical Drama,Romance & Drama,Medical Drama
Tragic Romance,Romance & Drama,Tragic Romance
Time Travel,Sci-Fi & Fantasy,Time Travel
Pop Musical,Other / Niche,Pop Musical
Legal Drama,Romance & Drama,Legal Drama
Artificial Intelligence,Sci-Fi & Fantasy,Artificial Intelligence
History,Other / Niche,History
Teen Adventure,Action & Adventure,Adventure
Wuxia,Action & Adventure,Martial Arts
Faith & Spirituality Documentary,Documentary & Biography,Faith/Spirituality Documentary
Hard-boiled Detective,Horror & Thriller,Mystery/Detective
Showbiz Drama,Romance & Drama,Showbiz Drama
Holiday Romance,Romance & Drama,Holiday Romance
Travel Documentary,Documentary & Biography,Travel Documentary
Heist,Horror & Thriller,Heist/Caper
Mountain Adventure,Action & Adventure,Adventure
Swashbuckler,Action & Adventure,Swashbuckler
Holiday Family,Other / Niche,Holiday Family
Giallo,Horror & Thriller,Giallo
Sitcom,Comedy,Stand-Up/Sitcom
Stoner Comedy,Comedy,Stoner Comedy
Samurai,Action & Adventure,Martial Arts
Teen Fantasy,Sci-Fi & Fantasy,Teen Fantasy
War,Other / Niche,War
Korean Drama,Romance & Drama,Korean Drama
Western,Action & Adventure,Western